Documet1,Document2,K,ShinglesJaccard,AproxSim
"11-Don-Quijote","14-Don-Quijote",2,0.133333,0.112327
"11-Don-Quijote","14-Mare-Balena",2,0.118644,0.182228
"11-Don-Quijote","14-Pride-Perjudice",2,0.452247,0.84453
"11-Don-Quijote","15-Don-Quijote",2,0.440154,0.479511
"11-Don-Quijote","15-Mare-Balena",2,0.335443,0.54263
"11-Don-Quijote","15-Pride-Perjudice",2,0.0575916,0.0685215
"11-Don-Quijote","16-Don-Quijote",2,0.133333,0.0981249
"11-Don-Quijote","16-Mare-Balena",2,0.19214,0.314637
"11-Don-Quijote","16-Pride-Perjudice",2,0.101562,0.143364
"11-Don-Quijote","17-Don-Quijote",2,0.135714,0.119241
"11-Don-Quijote","17-Mare-Balena",2,0.0258621,0.048935
"11-Don-Quijote","17-Pride-Perjudice",2,0.117647,0.216652
"11-Don-Quijote","18-Don-Quijote",2,0.86121,0.869211
"11-Don-Quijote","18-Mare-Balena",2,0.41853,0.651169
"11-Don-Quijote","18-Pride-Perjudice",2,0.0547445,0.0744632
"11-Don-Quijote","19-Don-Quijote",2,0.00469484,0.00355468
"11-Don-Quijote","19-Mare-Balena",2,0.142259,0.229947
"11-Don-Quijote","19-Pride-Perjudice",2,0.156794,0.284571
"11-Don-Quijote","2-Don-Quijote",2,0.388646,0.386728
"11-Don-Quijote","2-Mare-Balena",2,0.315789,0.495551
"11-Don-Quijote","2-Pride-Perjudice",2,0.00970874,0.0785356
"11-Don-Quijote","20-Don-Quijote",2,0.246231,0.26964
"11-Don-Quijote","20-Mare-Balena",2,0.250965,0.381778
"11-Don-Quijote","20-Pride-Perjudice",2,0.178138,0.300905
"11-Don-Quijote","3-Don-Quijote",2,0.481481,0.510245
"11-Don-Quijote","3-Mare-Balena",2,0.0338983,0.0353346
"11-Don-Quijote","3-Pride-Perjudice",2,0.0738255,0.145886
"11-Don-Quijote","4-Don-Quijote",2,0.160194,0.146469
"11-Don-Quijote","4-Mare-Balena",2,0.210784,0.281494
"11-Don-Quijote","4-Pride-Perjudice",2,0.216,0.370534
"11-Don-Quijote","5-Don-Quijote",2,0.390041,0.422645
"11-Don-Quijote","5-Mare-Balena",2,0.472303,0.79966
"11-Don-Quijote","5-Pride-Perjudice",2,0.186364,0.301457
"11-Don-Quijote","6-Don-Quijote",2,0.374359,0.303064
"11-Don-Quijote","6-Mare-Balena",2,0.196507,0.302224
"11-Don-Quijote","6-Pride-Perjudice",2,0.188073,0.286735
"11-Don-Quijote","7-Don-Quijote",2,0.216,0.219228
"11-Don-Quijote","7-Mare-Balena",2,0.211982,0.275443
"11-Don-Quijote","7-Pride-Perjudice",2,0.153061,0.239851
"11-Don-Quijote","8-Don-Quijote",2,0.113208,0.116957
"11-Don-Quijote","8-Mare-Balena",2,0.083871,0.130676
"11-Don-Quijote","8-Pride-Perjudice",2,0.130435,0.160051
"11-Don-Quijote","9-Don-Quijote",2,0.308081,0.280847
"11-Don-Quijote","9-Mare-Balena",2,0,0.048263
"11-Don-Quijote","9-Pride-Perjudice",2,0.221429,0.435601
"11-Mare-Balena","11-Pride-Perjudice",2,0.244898,0.396649
"11-Mare-Balena","12-Don-Quijote",2,0.343137,0.442616
"11-Mare-Balena","12-Mare-Balena",2,0.00719424,0.00630357
"11-Mare-Balena","12-Pride-Perjudice",2,0.273846,0.465609
"11-Mare-Balena","13-Don-Quijote",2,0.420588,0.61518
"11-Mare-Balena","13-Mare-Balena",2,0.146341,0.169558
"11-Mare-Balena","13-Pride-Perjudice",2,0.146119,0.228891
"11-Mare-Balena","14-Don-Quijote",2,0.167464,0.2296
"11-Mare-Balena","14-Mare-Balena",2,0.159664,0.190546
